01_vazov_000|Одата Левски, от цикъла „Епопея на забравените“ на Иван Вазов.
01_vazov_001|Този запис е направен за LibriVox.
01_vazov_002|Всички записи за LibriVox са обществено достояние.
01_vazov_003|за повече информация или за участие като доброволец.
01_vazov_004|Моля посетете LibriVox.org
01_vazov_005|ЛЕВСКИ
01_vazov_006|Манастирът тесен за мойта душа е.
01_vazov_007|Кога човек дойде тук да се покае, трябва да забрави греховния мир,
01_vazov_008|да бяга съблазни и да търси мир.
01_vazov_009|Моята съвест инак днеска ми говори.
01_vazov_010|Това расо черно, що нося отгоре, не ме помирява с тия небеса.
01_vazov_011|и когато в храма дигна си гласа, химн да пея богу да получа раят,
01_vazov_012|мисля, че той слуша тия, що ридаят в тоя долу плачевни, живот нетърпим.
01_vazov_013|И мойта молитва се губи като дим,
01_vazov_014|и господ сърдит си затуля ухото на светата песен и херувикото.
01_vazov_015|Мисля, че вратата на небесния рай на къде изглеждат никой ги не знае.
01_vazov_016|че не таз килия извожда нататък,
01_vazov_017|че из света шумен пътят е по-кратък,
01_vazov_018|че сълзите чисти, че вдовишки плач,
01_vazov_019|че потът почтенний на простий орач,
01_vazov_020|че благата дума, че правото дело, че светата правда е изказана смело,
01_vazov_021|че ръката братска без гордост, без вик,
01_vazov_022|подадена скришно на някой клетник,
01_vazov_023|са много по-мили на господа вишни от всичките химни и тропари лишни.
01_vazov_024|Мисля, че човекът, тук на тоя свят има един ближен, има един брат,
01_vazov_025|от кои се с клетва монахът отказа,
01_vazov_026|че цел по-висока Бог ни тук показа,
01_vazov_027|че не с това расо и не с таз брада мога да отмахна някоя беда от оня, що страда;
01_vazov_028|мисля, че канонът мъчно ще направи да замлъкне стонът;
01_vazov_029|че ближний ми има нужда не в молитва, а в съвет и помощ, когато залитва;
01_vazov_030|мисля ази още, че овчарят същ с овцете живее, на пек и на дъжд,
01_vazov_031|и че мойте братя търпят иго страшно, а аз нямам нищо,
01_vazov_032|и че туй е гряшно,
01_vazov_033|и че ще е харно да оставя веч таз ограда тиха, от света далеч,
01_vazov_034|и да кажа тайно две-три думи нови, на онез, що влачат тежките окови.
01_vazov_035|Рече
01_vazov_036|и излезе.
01_vazov_037|Девет годин той скита се бездомен, без сън, без покой,
01_vazov_038|под вънкашност чужда и под име ново
01_vazov_039|и с сърце порасло и за кръст готово,
01_vazov_040|и носи съзнанье, крепост, светлина на робите слепи в робската страна.
01_vazov_041|Думите му бяха и прости и кратки,
01_vazov_042|пълни с упованье и надежди сладки.
01_vazov_043|Говореше често за бунт, за борба, кат за една ближна обща веселба,
01_vazov_044|часът на която беше неизвестен;
01_vazov_045|изпитваше кой е сърцат, сиреч честен, участник да стане във подвига свят;
01_vazov_046|всяк един слушател беше му и брат.
01_vazov_047|В бъдещето тъмно той гледаше ясно.
01_vazov_048|Той любеше свойто отечество красно.
01_vazov_049|Той беше скиталец и кат дете прост
01_vazov_050|и като отшелник живееше в пост.
01_vazov_051|Горите, полята познати му бяха;
01_vazov_052|всичките пътеки кракът му видяха,
01_vazov_053|пустинята знайше неговия глас,
01_vazov_054|хижата го знайше и на всеки час вратата й за него отворена беше.
01_vazov_055|Той се не боеше, под небето спеше,
01_vazov_056|ходеше замислен, сам-си без другар.
01_vazov_057|Тая заран млад е, довечера стар,
01_vazov_058|одеве търговец, сега просяк дрипав,
01_vazov_059|кога беше нужно — хром, и сляп, и клипав;
01_vazov_060|днес в селото глухо, утре в някой град
01_vazov_061|говореше тайно за ближний преврат,
01_vazov_062|за бунт, за свобода, за смъртта, за гробът.
01_vazov_063|и че време веч е да въстане робът;
01_vazov_064|че щастлив е оня, който дигне пръв народното знаме и пролее кръв,
01_vazov_065|и че трябва твърдост, кураж, постоянство,
01_vazov_066|че страхът е подлост,
01_vazov_067|гордостта — пиянство,
01_vazov_068|че равни сме всички в големия час —
01_vazov_069|той внасяше бодрост в народната свяст.
01_vazov_070|И всякоя възраст, класа, пол, занятье
01_vazov_071|зимаше участье в това предприятье;
01_vazov_072|богатий с парите, сюрмахът с трудът,
01_vazov_073|момите с иглата, учений с умът,
01_vazov_074|а той беден, гол, бос, лишен от имотът,
01_vazov_075|за да е полезен
01_vazov_076|дал си бе животът!
01_vazov_077|Той беше безстрашлив.
01_vazov_078|Той беше готов сто пъти да умре на кръста Христов,
01_vazov_079|да гори, кат Хуса или кат Симона
01_vazov_080|за правдата свята да мре под триона.
01_vazov_081|Смъртта бе за него и приятел и брат,
01_vazov_082|зашил беше тайно в ръкава си яд,
01_vazov_083|на кръста му вярно оръжье висеше, за да бъде страшен, кога нужда беше.
01_vazov_084|Той не знайше отдих, ни мир, нито сън,
01_vazov_085|обърнал се беше не дух, на огън.
01_vazov_086|Думата си цяла лейше в едно слово,
01_vazov_087|понявга чело си мръщеше сурово,
01_vazov_088|и там се четеше и укор и гняв,
01_vazov_089|и душа упорна, и железен нрав.
01_vazov_090|Той беше невидим, фантом, или сянка.
01_vazov_091|Озове се в черква, мерне се в седянка.
01_vazov_092|Покаже се, скрий се без знак и без след,
01_vazov_093|навсякъде гонен, всякъде приет.
01_vazov_094|Веднъж във събранье едно многобройно той влезна внезапно, поздрави спокойно,
01_vazov_095|и лепна плесница на един подлец,
01_vazov_096|и излезе тихо из малкий градец.
01_vazov_097|Името му беше знак зарад тревога,
01_vazov_098|властта беше вредом невидима, строга,
01_vazov_099|обсаждаше двайсет града изведнъж, да улови тоя демон вездесъщ.
01_vazov_100|От лице му мрачно всички се бояха.
01_vazov_101|селяните прости светец го зовяха
01_vazov_102|и сбрани, сдушени във тайни места
01_vazov_103|слушаха със трепет, с зяпнали уста неговото слово сладко и опасно,
01_vazov_104|И тям на душата ставаше по-ясно.
01_vazov_105|И семето чудно падаше в сърцата
01_vazov_106|и бързо растеше за жътва богата.
